Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-01",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-02",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-03",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-04",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-05",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-06",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-07",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-08",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-09",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-10",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-11",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-12",0,,0,,0,,0,,0,,0,,0,0,9.25,,0,0,0,,,0,0
"2020-03-13",0,,0,,0,,0,,0,,1,1,2,0,9.25,,0,0,0,,,19.05,19.05
"2020-03-14",0,,0,,0,,0,,1,,1,1,2,0,9.25,,0,1,0,,,26.19,26.19
"2020-03-15",2,1,1,1,2,1,0,,1,,1,,3,520000000,9.25,,0,1,1,6,0,64.29,64.29
"2020-03-16",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,8,0,64.29,64.29
"2020-03-17",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,29,0,64.29,64.29
"2020-03-18",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,50,0,64.29,64.29
"2020-03-19",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,79,0,64.29,64.29
"2020-03-20",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,94,0,64.29,64.29
"2020-03-21",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,110,0,64.29,64.29
"2020-03-22",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,135,0,64.29,64.29
"2020-03-23",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,158,0,64.29,64.29
"2020-03-24",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,162,0,64.29,64.29
"2020-03-25",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,189,0,64.29,64.29
"2020-03-26",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,217,0,64.29,64.29
"2020-03-27",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,238,0,64.29,64.29
"2020-03-28",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,238,0,64.29,64.29
"2020-03-29",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,304,0,64.29,64.29
"2020-03-30",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,309,1,64.29,64.29
"2020-03-31",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,320,1,64.29,64.29
"2020-04-01",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,338,1,64.29,64.29
"2020-04-02",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,338,2,64.29,64.29
"2020-04-03",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,369,4,64.29,64.29
"2020-04-04",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,386,4,64.29,64.29
"2020-04-05",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,400,5,64.29,64.29
"2020-04-06",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,406,6,64.29,64.29
"2020-04-07",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,415,6,64.29,64.29
"2020-04-08",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,424,7,64.29,64.29
"2020-04-09",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,456,7,64.29,64.29
"2020-04-10",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,473,7,64.29,64.29
"2020-04-11",2,1,1,1,2,1,0,,1,,1,,3,0,9.25,,0,1,1,494,7,64.29,64.29
