Date,S1_Schoolclosing,S1_IsGeneral,S2_Workplaceclosing,S2_IsGeneral,S3_Cancelpublicevents,S3_IsGeneral,S4_Closepublictransport,S4_IsGeneral,S5_Publicinformationcampaigns,S5_IsGeneral,S6_Restrictionsoninternalmovement,S6_IsGeneral,S7_Internationaltravelcontrols,S8_Fiscalmeasures,S9_Monetarymeasures,S10_Emergencyinvestmentinhealthcare,S11_InvestmentinVaccines,S12_Testingframework,S13_Contacttracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
"2020-02-29",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-01",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-02",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-03",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-04",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-05",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-06",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-07",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-08",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-09",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-10",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-11",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-12",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-13",0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,2,0,0,0
"2020-03-14",0,,0,,0,,0,1,0,,0,,0,0,0,0,0,0,0,,,0,0
"2020-03-15",0,,0,,0,,0,1,0,,0,,3,0,0,0,0,0,0,,,14.29,14.29
"2020-03-16",2,1,0,,0,,0,1,0,,0,,3,0,0,0,0,0,0,,,28.57,28.57
"2020-03-17",2,1,0,,0,,0,1,0,,0,,3,0,0,0,0,0,0,,,28.57,28.57
"2020-03-18",2,1,0,,0,,0,1,1,1,0,,3,0,0,0,0,0,0,,,42.86,42.86
"2020-03-19",2,1,0,,0,,0,1,1,1,0,,3,0,0,0,0,0,0,,,42.86,42.86
"2020-03-20",2,1,0,,0,,0,1,1,1,0,,3,,,0,0,0,0,4,0,42.86,42.86
"2020-03-21",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,,,66.67,66.67
"2020-03-22",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,,,66.67,66.67
"2020-03-23",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,,,66.67,66.67
"2020-03-24",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,12,0,66.67,66.67
"2020-03-25",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,17,0,66.67,66.67
"2020-03-26",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,19,0,66.67,66.67
"2020-03-27",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,28,0,66.67,66.67
"2020-03-28",2,1,,,2,1,0,1,1,1,2,,3,,,0,0,0,0,28,0,66.67,66.67
"2020-03-29",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,28,0,85.71,85.71
"2020-03-30",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,50,0,85.71,85.71
"2020-03-31",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,,,85.71,85.71
"2020-04-01",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,55,0,85.71,85.71
"2020-04-02",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,55,0,85.71,85.71
"2020-04-03",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,60,0,85.71,85.71
"2020-04-04",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,62,0,85.71,85.71
"2020-04-05",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,64,0,85.71,85.71
"2020-04-06",2,1,2,1,2,1,0,1,1,1,2,1,3,,,0,0,0,0,64,0,85.71,85.71
"2020-04-07",2,1,2,1,2,1,,,,,2,1,3,,,,,,,71,0
"2020-04-08",2,1,2,1,2,1,,,,,2,1,3,,,,,,,74,0
"2020-04-09",2,1,2,1,2,1,,,,,2,1,3,,,,,,,77,0
"2020-04-10",2,1,2,1,2,1,,,,,2,1,3,,,,,,,82,0
"2020-04-11",2,1,2,1,2,1,,,,,2,1,3,,,,,,,86,0
